"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 05, 2019","15,194.27","15,194.27","15,194.27","15,194.27","-","-1.23%"
"Aug 02, 2019","15,382.73","15,382.73","15,382.73","15,382.73","-","0.21%"
"Aug 01, 2019","15,350.83","15,350.83","15,350.83","15,350.83","-","-1.21%"
"Jul 31, 2019","15,539.43","15,539.43","15,539.43","15,539.43","-","0.30%"
"Jul 30, 2019","15,493.33","15,493.33","15,493.33","15,493.33","-","-0.93%"
"Jul 29, 2019","15,638.42","15,638.42","15,638.42","15,638.42","-","-0.84%"
"Jul 26, 2019","15,770.63","15,770.63","15,770.63","15,770.63","-","0.29%"
"Jul 25, 2019","15,725.60","15,725.60","15,725.60","15,725.60","-","-0.15%"
"Jul 24, 2019","15,749.37","15,749.37","15,749.37","15,749.37","-","-0.48%"
"Jul 23, 2019","15,824.55","15,824.55","15,824.55","15,824.55","-","-0.13%"
"Jul 22, 2019","15,845.74","15,845.74","15,845.74","15,845.74","-","-0.63%"
"Jul 19, 2019","15,945.55","15,945.55","15,945.55","15,945.55","-","-1.47%"
"Jul 18, 2019","16,183.16","16,183.16","16,183.16","16,183.16","-","-0.76%"
"Jul 17, 2019","16,306.82","16,306.82","16,306.82","16,306.82","-","0.21%"
"Jul 16, 2019","16,272.08","16,272.08","16,272.08","16,272.08","-","0.66%"
"Jul 15, 2019","16,165.28","16,165.28","16,165.28","16,165.28","-","0.32%"
"Jul 12, 2019","16,113.75","16,113.75","16,113.75","16,113.75","-","-0.26%"
"Jul 11, 2019","16,155.78","16,155.78","16,155.78","16,155.78","-","0.75%"
"Jul 10, 2019","16,035.44","16,035.44","16,035.44","16,035.44","-","-0.49%"
"Jul 09, 2019","16,114.46","16,114.46","16,114.46","16,114.46","-","-0.02%"
"Jul 08, 2019","16,118.27","16,118.27","16,118.27","16,118.27","-","-2.13%"
"Jul 05, 2019","16,468.99","16,468.99","16,468.99","16,468.99","-","-1.13%"
"Jul 04, 2019","16,658.04","16,658.04","16,658.04","16,658.04","-","0.28%"
"Jul 03, 2019","16,612.16","16,612.16","16,612.16","16,612.16","-","0.05%"
"Jul 02, 2019","16,603.17","16,603.17","16,603.17","16,603.17","-","0.38%"
"Jul 01, 2019","16,540.88","16,540.88","16,540.88","16,540.88","-","0.65%"
"Jun 28, 2019","16,433.85","16,433.85","16,433.85","16,433.85","-","-0.45%"
"Jun 27, 2019","16,507.34","16,507.34","16,507.34","16,507.34","-","-0.05%"
"Jun 26, 2019","16,515.68","16,515.68","16,515.68","16,515.68","-","0.43%"
"Jun 25, 2019","16,444.46","16,444.46","16,444.46","16,444.46","-","0.83%"
"Jun 24, 2019","16,309.52","16,309.52","16,309.52","16,309.52","-","-0.21%"
"Jun 21, 2019","16,343.59","16,343.59","16,343.59","16,343.59","-","-0.91%"
"Jun 20, 2019","16,493.65","16,493.65","16,493.65","16,493.65","-","1.29%"
"Jun 19, 2019","16,283.94","16,283.94","16,283.94","16,283.94","-","-0.00%"
"Jun 18, 2019","16,283.98","16,283.98","16,283.98","16,283.98","-","0.17%"
"Jun 17, 2019","16,257.06","16,257.06","16,257.06","16,257.06","-","-1.28%"
"Jun 14, 2019","16,467.55","16,467.55","16,467.55","16,467.55","-","-0.76%"
"Jun 13, 2019","16,593.97","16,593.97","16,593.97","16,593.97","-","0.16%"
"Jun 12, 2019","16,568.09","16,568.09","16,568.09","16,568.09","-","-0.50%"
"Jun 11, 2019","16,650.75","16,650.75","16,650.75","16,650.75","-","0.36%"
"Jun 10, 2019","16,590.99","16,590.99","16,590.99","16,590.99","-","0.44%"
"Jun 07, 2019","16,518.62","16,518.62","16,518.62","16,518.62","-","0.23%"
"Jun 06, 2019","16,481.14","16,481.14","16,481.14","16,481.14","-","-1.48%"
"Jun 04, 2019","16,728.74","16,728.74","16,728.74","16,728.74","-","-0.51%"
"Jun 03, 2019","16,815.25","16,815.25","16,815.25","16,815.25","-","1.40%"
"May 31, 2019","16,583.46","16,583.46","16,583.46","16,583.46","-","-0.19%"
